config_name,errors,hall_faithfulness_mean,hall_faithfulness_std,hall_hallucination_rate_mean,hall_hallucination_rate_std,lat_generation_ms_mean,lat_generation_ms_p50,lat_generation_ms_p95,lat_hallucination_check_ms_mean,lat_hallucination_check_ms_p50,lat_hallucination_check_ms_p95,lat_query_processing_ms_mean,lat_query_processing_ms_p50,lat_query_processing_ms_p95,lat_reranking_ms_mean,lat_reranking_ms_p50,lat_reranking_ms_p95,lat_retrieval_ms_mean,lat_retrieval_ms_p50,lat_retrieval_ms_p95,lat_total_ms_mean,lat_total_ms_p50,lat_total_ms_p95,total_queries
llm_llama3.1,0,0.344224,0.3471221005986222,0.655776,0.3471221005986222,0.33369045211739334,0.3288000007160008,0.47096999915083865,384.2793010049745,313.3244999917224,1040.0630500007537,0.7547424246134904,0.7281500002136454,1.101179996476275,53.81474572860685,54.359400004614145,61.48012999183265,112.71341658355587,103.78020000644028,173.50415999535466,551.9141432168589,479.72829997888766,1262.2522900186596,200
llm_qwen2.5,0,0.3817105,0.35650045657719714,0.6182894999999999,0.35650045657719714,66724.18728200042,51554.66244999843,169279.9881949984,934.789330769593,748.8441999885254,2457.5241599988644,0.7878378786368888,0.7160999957704917,1.4053550024982528,68.97927638198584,55.24110000988003,72.30528000072808,171.45953826496094,140.3176000021631,413.6418500020227,68079.33958600035,53636.988649981504,170629.0604699992,200
llm_mistral,0,0.5039015,0.37400623089428603,0.4960985000000001,0.37400623089428603,81755.37417400046,83026.7090999987,170236.19357499699,900.8530562802922,822.8405999980168,2133.850650000386,0.9547708550644758,0.9070999949472025,1.6153299991856327,334.0266212118252,316.7789500002982,486.28039500836167,166.06769076927614,155.37269999913406,267.02856999472704,83218.7847174998,84542.93744998722,171555.5663599967,200
