config_name,errors,hall_faithfulness_mean,hall_faithfulness_std,hall_hallucination_rate_mean,hall_hallucination_rate_std,lat_generation_ms_mean,lat_generation_ms_p50,lat_generation_ms_p95,lat_hallucination_check_ms_mean,lat_hallucination_check_ms_p50,lat_hallucination_check_ms_p95,lat_query_processing_ms_mean,lat_query_processing_ms_p50,lat_query_processing_ms_p95,lat_reranking_ms_mean,lat_reranking_ms_p50,lat_reranking_ms_p95,lat_retrieval_ms_mean,lat_retrieval_ms_p50,lat_retrieval_ms_p95,lat_total_ms_mean,lat_total_ms_p50,lat_total_ms_p95,total_queries
RAG Lexico (BM25),0,0.4963889999999999,0.4209928140467483,0.503611,0.4209928140467483,17765.431432652007,16386.367800005246,39627.685075000045,1008.4674287885204,809.7476999973878,3017.7608549944116,0.0009202027065453656,0.000800006091594696,0.001800013706088066,0.003101009607427951,0.0026999914553016424,0.00551498378627002,140.24618730926414,114.34619998908602,306.16608000709675,18984.213281121567,17444.482400023844,42097.79080001317,200
RAG Semantico (Dense),0,0.5088550000000001,0.38507450029182666,0.49114499999999994,0.3850745002918267,18212.394063265958,16900.67890001228,34387.73352500721,4203.317851257123,3755.805600027088,8693.45728001499,0.0008391969586867633,0.000700005330145359,0.0014999823179095984,0.002821539946569082,0.0026999914553016424,0.0044000043999403715,226.92172132065485,79.21120000537485,808.1621399905988,22969.50941472559,22502.67439999152,41540.69711997872,200
RAG Hibrido Propuesto,0,0.5140779999999999,0.3733292830946964,0.4859220000000001,0.3733292830946964,24847.916864498107,24401.388099999167,48394.47437498891,12092.415880000677,9386.977199988905,32421.82204998967,1.5219517967078644,1.0881999915000051,3.7799100042320752,1075.6700418358525,857.1939999965252,3076.3578499900177,583.3150055550504,266.68939999944996,2144.0903049995536,39465.10246633093,37915.46400001971,81282.183449954,200
