config_name,errors,hall_faithfulness_mean,hall_faithfulness_std,hall_hallucination_rate_mean,hall_hallucination_rate_std,lat_generation_ms_mean,lat_generation_ms_p50,lat_generation_ms_p95,lat_hallucination_check_ms_mean,lat_hallucination_check_ms_p50,lat_hallucination_check_ms_p95,lat_query_processing_ms_mean,lat_query_processing_ms_p50,lat_query_processing_ms_p95,lat_reranking_ms_mean,lat_reranking_ms_p50,lat_reranking_ms_p95,lat_retrieval_ms_mean,lat_retrieval_ms_p50,lat_retrieval_ms_p95,lat_total_ms_mean,lat_total_ms_p50,lat_total_ms_p95,total_queries
RAG Lexico (BM25),0,0.42858,0.4694712617402689,0.57142,0.4694712617402688,0.5064600030891597,0.1534000039100647,1.4649200078565625,3404.1757200000575,302.5439000048209,12772.955179997367,0.0009200040949508548,0.000800006091594696,0.0014400109648704527,0.002899995888583362,0.0023999891709536314,0.005059997783973812,84.26588000147603,66.05330000456888,141.75202000769787,3488.951880004606,368.7187999894377,12857.231979997592,5
RAG Semantico (Dense),0,0.64,0.44542114902640173,0.36,0.44542114902640173,52786.16992000025,47192.74330000917,84944.32178000279,13312.959360002424,878.0170000100043,34778.67942000157,0.0018400052795186639,0.00100000761449337,0.004280009306967258,0.0032999931136146188,0.0027999922167509794,0.005059997783973813,2136.948980001034,320.7708999980241,6404.15742000041,68236.0834000021,82474.12640001858,107203.15993999247,5
RAG Hibrido Propuesto,0,0.42000000000000004,0.2135415650406262,0.58,0.2135415650406262,63135.18817999866,37876.921600007336,123845.86515999981,4911.940260001575,4308.102499999222,9734.75954000023,2.2858800017274916,0.6234000029508024,6.960439996328203,3790.467119999812,1577.9560999944806,10760.198760003548,424.5356399973389,162.59100000024773,1174.3970799929227,72264.41707999911,57174.50870000175,130767.00104000047,5
